States,year,quarter,brand,user_counts,percentage
Andhra Pradesh,2020,4,Vivo,2950572,17%
Andhra Pradesh,2020,4,Oppo,1856052,11%
Andhra Pradesh,2020,4,Realme,1361491,8%
Andhra Pradesh,2020,4,Motorola,506158,3%
Andhra Pradesh,2020,4,Huawei,437125,3%
Andhra Pradesh,2020,4,Apple,394191,2%
Andhra Pradesh,2020,4,OnePlus,336518,2%
Andhra Pradesh,2020,4,Lenovo,276671,2%
Andhra Pradesh,2020,4,Others,1212259,7%
Andhra Pradesh,2021,1,Xiaomi,4644641,25%
Andhra Pradesh,2021,1,Samsung,3635596,20%
Andhra Pradesh,2021,1,Vivo,3245151,18%
Andhra Pradesh,2021,1,Oppo,2010506,11%
Andhra Pradesh,2021,1,Realme,1531645,8%
Andhra Pradesh,2021,1,Motorola,518115,3%
Andhra Pradesh,2021,1,Huawei,455604,2%
Andhra Pradesh,2021,1,Apple,421002,2%
Andhra Pradesh,2021,1,OnePlus,355922,2%
Andhra Pradesh,2021,1,Lenovo,277980,2%
Andhra Pradesh,2021,1,Others,1267571,7%
Andhra Pradesh,2021,2,Xiaomi,4937684,25%
Andhra Pradesh,2021,2,Samsung,3798250,19%
Andhra Pradesh,2021,2,Vivo,3572140,18%
Andhra Pradesh,2021,2,Oppo,2173037,11%
Andhra Pradesh,2021,2,Realme,1817804,9%
Andhra Pradesh,2021,2,Motorola,503072,3%
Andhra Pradesh,2021,2,Apple,450689,2%
Andhra Pradesh,2021,2,Huawei,440324,2%
Andhra Pradesh,2021,2,OnePlus,394851,2%
Andhra Pradesh,2021,2,Lenovo,261201,1%
Andhra Pradesh,2021,2,Others,1271853,6%
Andhra Pradesh,2021,3,Xiaomi,5256707,25%
Andhra Pradesh,2021,3,Vivo,3981492,19%
Andhra Pradesh,2021,3,Samsung,3911188,19%
Andhra Pradesh,2021,3,Oppo,2382363,11%
Andhra Pradesh,2021,3,Realme,2134616,10%
Andhra Pradesh,2021,3,Motorola,486971,2%
Andhra Pradesh,2021,3,Apple,480993,2%
Andhra Pradesh,2021,3,OnePlus,459011,2%
Andhra Pradesh,2021,3,Huawei,435214,2%
Andhra Pradesh,2021,3,Lenovo,245241,1%
Andhra Pradesh,2021,3,Others,1286102,6%
Andhra Pradesh,2021,4,Xiaomi,5518238,25%
Andhra Pradesh,2021,4,Vivo,4381023,19%
Andhra Pradesh,2021,4,Samsung,4017419,18%
Andhra Pradesh,2021,4,Oppo,2580845,11%
Andhra Pradesh,2021,4,Realme,2528884,11%
Andhra Pradesh,2021,4,Apple,544986,2%
Andhra Pradesh,2021,4,OnePlus,525373,2%
Andhra Pradesh,2021,4,Motorola,474422,2%
Andhra Pradesh,2021,4,Huawei,409934,2%
Andhra Pradesh,2021,4,Lenovo,224391,1%
Andhra Pradesh,2021,4,Others,1283514,6%
Andhra Pradesh,2022,1,Xiaomi,5743382,24%
Andhra Pradesh,2022,1,Vivo,4772765,20%
Andhra Pradesh,2022,1,Samsung,4124296,17%
Andhra Pradesh,2022,1,Realme,2864092,12%
Andhra Pradesh,2022,1,Oppo,2780974,12%
Andhra Pradesh,2022,1,Apple,594003,2%
Andhra Pradesh,2022,1,OnePlus,580737,2%
Andhra Pradesh,2022,1,Motorola,463652,2%
Andhra Pradesh,2022,1,Huawei,401477,2%
Andhra Pradesh,2022,1,Lenovo,222586,1%
Andhra Pradesh,2022,1,Others,1309987,5%
Arunachal Pradesh,2018,1,Xiaomi,5212,24%
Arunachal Pradesh,2018,1,Samsung,4354,20%
Arunachal Pradesh,2018,1,Vivo,3523,16%
Arunachal Pradesh,2018,1,Oppo,2608,12%
Arunachal Pradesh,2018,1,Realme,1297,6%
Arunachal Pradesh,2018,1,Apple,628,3%
Arunachal Pradesh,2018,1,Gionee,563,3%
Arunachal Pradesh,2018,1,Lenovo,420,2%
Arunachal Pradesh,2018,1,OnePlus,403,2%
Arunachal Pradesh,2018,1,Motorola,343,2%
Arunachal Pradesh,2018,1,Others,2144,10%
Arunachal Pradesh,2018,2,Xiaomi,8058,25%
Arunachal Pradesh,2018,2,Samsung,6633,20%
Arunachal Pradesh,2018,2,Vivo,5591,17%
Arunachal Pradesh,2018,2,Oppo,4204,13%
Arunachal Pradesh,2018,2,Realme,1943,6%
Arunachal Pradesh,2018,2,Apple,869,3%
Arunachal Pradesh,2018,2,Gionee,730,2%
Arunachal Pradesh,2018,2,Lenovo,581,2%
Arunachal Pradesh,2018,2,OnePlus,554,2%
Arunachal Pradesh,2018,2,Motorola,514,2%
Arunachal Pradesh,2018,2,Others,3206,10%
Arunachal Pradesh,2018,3,Xiaomi,11250,24%
Arunachal Pradesh,2018,3,Samsung,9307,20%
Arunachal Pradesh,2018,3,Vivo,8226,18%
Arunachal Pradesh,2018,3,Oppo,5992,13%
Arunachal Pradesh,2018,3,Realme,2676,6%
Arunachal Pradesh,2018,3,Apple,1153,3%
Arunachal Pradesh,2018,3,Gionee,1024,2%
Arunachal Pradesh,2018,3,OnePlus,740,2%
Arunachal Pradesh,2018,3,Motorola,722,2%
Arunachal Pradesh,2018,3,Lenovo,629,1%
Arunachal Pradesh,2018,3,Others,4203,9%
Arunachal Pradesh,2018,4,Xiaomi,15097,24%
Arunachal Pradesh,2018,4,Samsung,12580,20%
Arunachal Pradesh,2018,4,Vivo,11624,19%
Arunachal Pradesh,2018,4,Oppo,8328,13%
Arunachal Pradesh,2018,4,Realme,3613,6%
Arunachal Pradesh,2018,4,Apple,1517,2%
Arunachal Pradesh,2018,4,Gionee,1188,2%
Arunachal Pradesh,2018,4,Motorola,944,2%
Arunachal Pradesh,2018,4,OnePlus,896,1%
Arunachal Pradesh,2018,4,Lenovo,831,1%
Arunachal Pradesh,2018,4,Others,5234,8%
Arunachal Pradesh,2019,1,Xiaomi,18809,24%
Arunachal Pradesh,2019,1,Samsung,15537,20%
Arunachal Pradesh,2019,1,Vivo,14892,19%
Arunachal Pradesh,2019,1,Oppo,10738,14%
Arunachal Pradesh,2019,1,Realme,4413,6%
Arunachal Pradesh,2019,1,Apple,1870,2%
Arunachal Pradesh,2019,1,Gionee,1310,2%
Arunachal Pradesh,2019,1,Motorola,1137,1%
Arunachal Pradesh,2019,1,OnePlus,1114,1%
Arunachal Pradesh,2019,1,Huawei,972,1%
Arunachal Pradesh,2019,1,Others,6165,8%
Arunachal Pradesh,2019,2,Xiaomi,23326,24%
Arunachal Pradesh,2019,2,Samsung,19719,21%
Arunachal Pradesh,2019,2,Vivo,18958,20%
Arunachal Pradesh,2019,2,Oppo,13678,14%
Arunachal Pradesh,2019,2,Realme,5425,6%
Arunachal Pradesh,2019,2,Apple,2169,2%
Arunachal Pradesh,2019,2,Gionee,1608,2%
Arunachal Pradesh,2019,2,Motorola,1404,1%
