States,year,quarter,District,trans_counts,amount
Arunachal Pradesh,2018,1,Papum Pare District,14224,32555848.46233147
Arunachal Pradesh,2018,1,Kurung Kumey District,84,99416.58027150274
Arunachal Pradesh,2018,1,Siang District,252,339471.80434222345
Arunachal Pradesh,2018,1,Lower Siang District,1292,2337960.7148240386
Arunachal Pradesh,2018,1,Kra Daadi District,207,495375.1454853307
Arunachal Pradesh,2018,1,Changlang District,3195,5380749.415278763
Arunachal Pradesh,2018,1,Pakke Kessang District,9,9131.404205737199
Arunachal Pradesh,2018,1,Dibang Valley District,2,169.88856537681642
Arunachal Pradesh,2018,1,West Kameng District,5787,9540632.547015157
Arunachal Pradesh,2018,1,East Siang District,3286,5533620.186295529
Arunachal Pradesh,2018,1,Upper Subansiri District,735,1358367.5018580484
Arunachal Pradesh,2018,1,East Kameng District,529,473824.76595106337
Arunachal Pradesh,2018,1,Lohit District,3747,11496949.54576835
Arunachal Pradesh,2018,1,Lepa Rada District,288,403149.46702687367
Arunachal Pradesh,2018,1,Tawang District,2334,5055665.022950603
Arunachal Pradesh,2018,1,Namsai District,1400,2162984.705083958
Arunachal Pradesh,2018,2,Lower Dibang Valley District,1827,2561237.506207262
Arunachal Pradesh,2018,2,Lower Subansiri District,1666,4113742.044
Arunachal Pradesh,2018,2,Longding District,4634,10271170.16552131
Arunachal Pradesh,2018,2,West Siang District,2579,7610989.567485569
Arunachal Pradesh,2018,2,Kamle District,12,23654.058373191845
Arunachal Pradesh,2018,2,Upper Siang District,240,494895.09277159756
Arunachal Pradesh,2018,2,Tirap District,1903,3126393.7649546335
Arunachal Pradesh,2018,2,Papum Pare District,25363,66520931.20355792
Arunachal Pradesh,2018,2,Kurung Kumey District,83,123737.2220411206
Arunachal Pradesh,2018,2,Anjaw District,7,7871.020814692305
Arunachal Pradesh,2018,2,Siang District,336,740232.6309634304
Arunachal Pradesh,2018,2,Lower Siang District,2292,2179451.657976534
Arunachal Pradesh,2018,2,Kra Daadi District,247,987135.9959717204
Arunachal Pradesh,2018,2,Changlang District,6066,13294258.50337311
Arunachal Pradesh,2018,2,Pakke Kessang District,48,58359.57138935899
Arunachal Pradesh,2018,2,Dibang Valley District,68,65769.20367
Arunachal Pradesh,2018,2,West Kameng District,10466,25521321.34140157
Arunachal Pradesh,2018,2,East Siang District,6363,15285584.202916931
Arunachal Pradesh,2018,2,Upper Subansiri District,1285,2911910.3689207276
Arunachal Pradesh,2018,2,East Kameng District,522,1825297.4617279815
Arunachal Pradesh,2018,2,Lohit District,6962,20520618.88189011
Arunachal Pradesh,2018,2,Lepa Rada District,511,731444.7370576829
Arunachal Pradesh,2018,2,Tawang District,5447,13722374.81135791
Arunachal Pradesh,2018,2,Namsai District,3230,6271811.327635023
Arunachal Pradesh,2018,3,Lower Dibang Valley District,2824,6074558.207066888
Arunachal Pradesh,2018,3,Lower Subansiri District,2346,5154231.737357968
Arunachal Pradesh,2018,3,Longding District,5288,18327334.05075552
Arunachal Pradesh,2018,3,West Siang District,3337,12966152.79251931
Arunachal Pradesh,2018,3,Kamle District,93,30504.94301319112
Arunachal Pradesh,2018,3,Upper Siang District,250,743956.1055720671
Arunachal Pradesh,2018,3,Tirap District,3322,7479257.007852319
Arunachal Pradesh,2018,3,Papum Pare District,43282,101080479.2917223
Arunachal Pradesh,2018,3,Kurung Kumey District,255,303027.4066451341
Arunachal Pradesh,2018,3,Anjaw District,13,95403.67678261214
Arunachal Pradesh,2018,3,Siang District,615,2141734.499956036
Arunachal Pradesh,2018,3,Lower Siang District,2625,3045590.882295873
Arunachal Pradesh,2018,3,Kra Daadi District,436,1606758.4080739785
Arunachal Pradesh,2018,3,Changlang District,10162,20494174.95
Arunachal Pradesh,2018,3,Pakke Kessang District,165,305164.81707575504
Arunachal Pradesh,2018,3,Dibang Valley District,29,196466.66696677107
Arunachal Pradesh,2018,3,West Kameng District,17026,48528147.45054105
Arunachal Pradesh,2018,3,East Siang District,10539,24885270.773230053
Arunachal Pradesh,2018,3,Upper Subansiri District,1601,4223297.613673143
Arunachal Pradesh,2018,3,East Kameng District,1029,3132863.590645522
Arunachal Pradesh,2018,3,Lohit District,11595,32702331.664437763
Arunachal Pradesh,2018,3,Lepa Rada District,523,1777602.4370017413
Arunachal Pradesh,2018,3,Tawang District,8715,25733824.99410926
Arunachal Pradesh,2018,3,Namsai District,5076,10698272.77
Arunachal Pradesh,2018,4,Lower Dibang Valley District,4227,10951332.39393786
Arunachal Pradesh,2018,4,Lower Subansiri District,3735,8884930.591487257
Arunachal Pradesh,2018,4,Longding District,6581,22545311.85089966
Arunachal Pradesh,2018,4,West Siang District,3813,14013986.24482587
Arunachal Pradesh,2018,4,Kamle District,247,361497.05682825705
Arunachal Pradesh,2018,4,Upper Siang District,1041,2157332.9473089008
Arunachal Pradesh,2018,4,Tirap District,5725,10811742.67058608
Arunachal Pradesh,2018,4,Papum Pare District,55224,154875448.2077814
